"TFName","mean_of_gene_mean_abs_TSS_distance","TF_distance_class"
"HSF1",168,"proximal_TF"
"ZNF136",305.5,"proximal_TF"
"TBXT",1423,"proximal_TF"
"ZNF140",2829,"proximal_TF"
"ATF6",3784.5,"proximal_TF"
"E2F1",3838.66666666667,"proximal_TF"
"RFX1",5289.5,"proximal_TF"
"RFX3",5289.5,"proximal_TF"
"RFX5",5289.5,"proximal_TF"
"ZNF547",5346,"proximal_TF"
"E2F7",5539.4,"proximal_TF"
"TP73",9602.28571428571,"proximal_TF"
"SOX12",9781.5,"proximal_TF"
"TBX19",11950,"distal_TF"
"ZNF343",12358.3,"distal_TF"
"ZNF610",13594.18591692,"distal_TF"
"ZBED4",13759.1485407066,"distal_TF"
"ELK1::SREBF2",15894.25,"distal_TF"
"THRA",16454,"distal_TF"
"NR3C1",16463,"distal_TF"
"Pgr",16463,"distal_TF"
"ERF::SREBF2",16906.6666666667,"distal_TF"
"CREB3",17150.2,"distal_TF"
"CREB3L1",18342.25,"distal_TF"
"Pou5f1::Sox2",19159.5,"distal_TF"
"RREB1",19472.875,"distal_TF"
"POU2F1::SOX2",20181,"distal_TF"
"NR3C2",20727.25,"distal_TF"
"Nrf1",21953.4526315789,"distal_TF"
"RFX4",23435.75,"distal_TF"
"ZFP42",23982.6666666667,"distal_TF"
"Ar",24362.75,"distal_TF"
"ZNF707",24471,"distal_TF"
"NR5A1",29074.2,"distal_TF"
"ZNF528",29097,"distal_TF"
"KLF17",29251.0625,"distal_TF"
"FOSB::JUN",30124.2555555556,"distal_TF"
"XBP1",30512.2592592593,"distal_TF"
"POU4F2",30700.8,"distal_TF"
"KLF15",30946.0508952419,"distal_TF"
"Nr2f6",31040.5,"distal_TF"
"Rxra",31528,"distal_TF"
"ZBTB24",31719.6756756757,"distal_TF"
"RXRB",32381.5846153846,"distal_TF"
"KLF13",32390.4727272727,"distal_TF"
"ZNF416",32468.75,"distal_TF"
"KLF3",32605.5980590548,"distal_TF"
"RXRA::VDR",33326,"distal_TF"
"RARA::RXRA",34228.5,"distal_TF"
"PPARA::RXRA",35579,"distal_TF"
"MYBL1",35604.8333333333,"distal_TF"
"RARA::RXRG",35973.05,"distal_TF"
"ZNF684",36884,"distal_TF"
"TP53",38085,"distal_TF"
"ZIC1",38467.4375,"distal_TF"
"ZNF524",38970.0321428571,"distal_TF"
"TEF",41323.4756410256,"distal_TF"
"CUX2",41853.4545454546,"distal_TF"
"Znf423",42333.4852843915,"distal_TF"
"CEBPE",42434.4142857143,"distal_TF"
"ZIC5",42467.4852941177,"distal_TF"
"Zfp961",42988.175,"distal_TF"
"HES2",43033.251266464,"distal_TF"
"E2F8",43268.1333333333,"distal_TF"
"PLAGL2",43622.3094148492,"distal_TF"
"GMEB2",44314.4,"distal_TF"
"CEBPB",44515.0928571429,"distal_TF"
"Gli1",45107.96,"distal_TF"
"ATF7",45210.4705882353,"distal_TF"
"E2F4",45243.5,"distal_TF"
"Mafg",45723.375,"distal_TF"
"RXRG",45772.7875,"distal_TF"
"SP3",45839.1319155334,"distal_TF"
"Hmx2",46302,"distal_TF"
"HEY2",46400.5532835958,"distal_TF"
"NR1I2",46563.2727272727,"distal_TF"
"ZNF16",46572,"distal_TF"
"ZFP14",46652.6086206897,"distal_TF"
"CTCFL",46929.8048534799,"distal_TF"
"Zbtb2",47981.1461538462,"distal_TF"
"RARG",49025.2777777778,"distal_TF"
"MLX",49145.7333333333,"distal_TF"
"ATF3",49182.9333333333,"distal_TF"
"FEZF2",49555.3172492401,"distal_TF"
"HSF2",49761.2,"distal_TF"
"PLAG1",49893.2307692308,"distal_TF"
"ZIC4",50151.7307692308,"distal_TF"
"NFIB",50588.1111111111,"distal_TF"
"Gmeb1",50900.8311965812,"distal_TF"
"YY2",50977.3493761141,"distal_TF"
"ZNF75D",51571.7894736842,"distal_TF"
"ZBTB14",51805.3366666667,"distal_TF"
"ZNF354A",52258.625,"distal_TF"
"PPARD",52378.7714285714,"distal_TF"
"ATF4",52505.2642857143,"distal_TF"
"ZNF682",52705.0882352941,"distal_TF"
"ZNF148",52953.119879518,"distal_TF"
"ZNF320",53273.7692307692,"distal_TF"
"ZNF85",53454.5882352941,"distal_TF"
"Nfe2l2",53532.9507575758,"distal_TF"
"PBX3",53806.7314814815,"distal_TF"
"KLF12",53812.9751139818,"distal_TF"
"ZNF692",54042.3625944317,"distal_TF"
"Plagl1",54344.8555970149,"distal_TF"
"SMAD5",54863.6153846154,"distal_TF"
"Zfx",55009.4985072006,"distal_TF"
"Bach1::Mafk",55020.7833333333,"distal_TF"
"EGR1",55066.5991928975,"distal_TF"
"MAFG::NFE2L1",55158.2638888889,"distal_TF"
"ZNF213",55175.2833333333,"distal_TF"
"ZNF574",55245.2222222222,"distal_TF"
"SP8",55260.422756734,"distal_TF"
"EPAS1",55389.05,"distal_TF"
"CEBPG",55541.2023323615,"distal_TF"
"RARB",55679.6428571429,"distal_TF"
"PATZ1",56035.2510370157,"distal_TF"
"FOXD2",56233.0567375887,"distal_TF"
"HES5",56632.7363636364,"distal_TF"
"ZNF417",57076.0657894737,"distal_TF"
"Six3",57265.25,"distal_TF"
"SP2",57492.6993197279,"distal_TF"
"NFYA",57506.4194444444,"distal_TF"
"USF2",57593.652173913,"distal_TF"
"ELK3",57866.9177993528,"distal_TF"
"TGIF2",57909.25,"distal_TF"
"ZNF677",57961,"distal_TF"
"KLF10",58259.4916666666,"distal_TF"
"IRF5",58875.9,"distal_TF"
"NFIC::TLX1",58890.875,"distal_TF"
"Creb5",58931.8947368421,"distal_TF"
"E2F2",58989.4090909091,"distal_TF"
"Zic2",59312.8428571429,"distal_TF"
"ZNF331",59378.8455882353,"distal_TF"
"KLF7",59538.7853123251,"distal_TF"
"MAF::NFE2",59637.2689393939,"distal_TF"
"DBP",60126.0025510204,"distal_TF"
