"TFName","n_genes_targeted","total_positive_events","mean_of_gene_mean_abs_TSS_distance","median_of_gene_mean_abs_TSS_distance","sd_gene_mean_abs_TSS_distance"
"HSF1",1,3,168,168,NA
"ZNF136",2,6,305.5,305.5,328.804653251745
"TBXT",3,18,1423,54,2372.04363366275
"ZNF140",4,12,2829,361,4956.03739560818
"ATF6",6,18,3784.5,1411.5,5613.99557356434
"E2F1",3,10,3838.66666666667,826,5609.6591993929
"RFX1",4,24,5289.5,5321,5709.96004072416
"RFX3",4,24,5289.5,5321,5709.96004072416
"RFX5",4,24,5289.5,5321,5709.96004072416
"ZNF547",1,3,5346,5346,NA
"E2F7",5,15,5539.4,4897,4092.55107481874
"TP73",7,22,9602.28571428571,13151,6940.18469289028
"SOX12",2,6,9781.5,9781.5,9714.94006672198
"TBX19",6,15,11950,5065.5,21481.0909127074
"ZNF343",10,30,12358.3,6425,20817.5646726508
"ZNF610",47,203,13594.18591692,3644,24825.7074192098
"ZBED4",62,340,13759.1485407066,2494.75,30339.4300048176
"ELK1::SREBF2",12,36,15894.25,6586,24977.344080095
"THRA",1,1,16454,16454,NA
"NR3C1",1,2,16463,16463,NA
"Pgr",1,2,16463,16463,NA
"ERF::SREBF2",3,9,16906.6666666667,14758,4118.35553750928
"CREB3",15,59,17150.2,2812,37484.2352543039
"CREB3L1",8,23,18342.25,4076,40827.3076917538
"Pou5f1::Sox2",2,6,19159.5,19159.5,3550.38314833766
"RREB1",8,33,19472.875,8487.75,25521.359208304
"POU2F1::SOX2",2,6,20181,20181,4995.00230230177
"NR3C2",4,7,20727.25,12056,20869.3864208638
"Nrf1",19,131,21953.4526315789,495,74699.3384824448
"RFX4",4,24,23435.75,4209,40633.44898295
"ZFP42",6,18,23982.6666666667,5699.5,40241.2841627435
"Ar",2,3,24362.75,24362.75,11171.2264825757
"ZNF707",2,6,24471,24471,12609.1281221185
"NR5A1",5,10,29074.2,10338,39778.5014323064
"ZNF528",4,12,29097,6663,49351.5497696543
