"TF1","TF2","timepoint","n_TF1_only","n_TF2_only","n_Both_TFs","mean_TF1_only","mean_TF2_only","mean_Both_TFs","p_Both_vs_TF1","p_Both_vs_TF2","p_TF1_vs_TF2","p_adj_Both_vs_TF1","p_adj_Both_vs_TF2","p_adj_TF1_vs_TF2","diff_Both_minus_TF1","diff_Both_minus_TF2","diff_TF1_minus_TF2","direction_Both_vs_TF1","direction_Both_vs_TF2","direction_TF1_vs_TF2"
"EHF","SP5","day_1",49,49,151,0.345491808571364,0.0487085967104534,-0.107526168612422,0.000127139805186853,0.176339124404169,0.033631870870569,0.0140210021347179,0.56432697865304,0.18188664858573,-0.643147077942487,-0.197080041999623,0.446067035942864,"Both_lower_than_TF1_only","not_significant","not_significant"
"ZNF354C","HOXA4","day_1",64,52,145,0.226144374525585,-0.00730449823237726,-0.186744512968697,7.75907170820094e-05,0.180376398149545,0.126159597179769,0.0140210021347179,0.56432697865304,0.346666499329878,-0.555532022097536,-0.126342194496013,0.429189827601523,"Both_lower_than_TF1_only","not_significant","not_significant"
"RBPJ","HOXA4","day_1",66,65,132,0.236784972592596,-0.121308761708019,-0.148278172556996,0.000264547210089017,0.708840269836036,0.00404285040138272,0.0140210021347179,0.881890476556571,0.0651085032000947,-0.500602818599307,0.0348273029762395,0.535430121575546,"Both_lower_than_TF1_only","not_significant","not_significant"
"ELF2","HOXA4","day_1",65,50,147,0.26155796768982,-0.156021395218564,-0.133719173657255,0.000236638028864682,0.790534086239137,0.00297389785526442,0.0140210021347179,0.906889752611997,0.0651085032000947,-0.597495001391254,0.0114365052091775,0.608931506600431,"Both_lower_than_TF1_only","not_significant","not_significant"
"FLI1","HOXA4","day_1",67,62,135,0.2561364148644,-0.127942762806473,-0.144632125885507,0.00023438892366567,0.824315366412666,0.0028676662931853,0.0140210021347179,0.917090383947759,0.0651085032000947,-0.589215971869281,-0.0770107815982555,0.512205190271026,"Both_lower_than_TF1_only","not_significant","not_significant"
"ELF2","SP5","day_1",56,44,156,0.273521065241204,0.093702274082322,-0.11520916846978,0.00048669637705437,0.0896468449115619,0.212600103068806,0.0165238715436613,0.507384355877788,0.454346994461561,-0.539719674768644,-0.252270766557758,0.287448908210886,"Both_lower_than_TF1_only","not_significant","not_significant"
"IKZF2","HOXA4","day_1",88,44,153,0.222833183188263,-0.226565962587883,-0.114306444017502,0.000456226184885839,0.345353331059147,0.00120941104239848,0.0165238715436613,0.692794798586767,0.0457848466050854,-0.437389798489166,0.23952387028047,0.676913668769636,"Both_lower_than_TF1_only","not_significant","TF1_only_higher_than_TF2_only"
"ETS1","HOXA4","day_1",67,64,133,0.222941257881637,-0.102778751617487,-0.156992091616734,0.000498833857921851,0.592647459057336,0.0120144766043871,0.0165238715436613,0.813110852784925,0.110059833802893,-0.594096595523649,-0.13962857141032,0.454468024113329,"Both_lower_than_TF1_only","not_significant","not_significant"
"ETS1","SP5","day_1",51,51,149,0.262823439898461,0.107787237649292,-0.129844827797164,0.000868780853405002,0.0302596084822904,0.220663608547376,0.0177097635501789,0.267293208260232,0.467806850120437,-0.669500767925254,-0.387884644850102,0.281616123075152,"Both_lower_than_TF1_only","not_significant","not_significant"
"ELK4","SP5","day_1",51,41,159,0.278887397740133,0.0784150854829468,-0.107325463688455,0.000815616012975699,0.127960405134967,0.164401966875759,0.0177097635501789,0.538246148583592,0.399964977498575,-0.60696566988246,-0.285911115778438,0.321054554104022,"Both_lower_than_TF1_only","not_significant","not_significant"
"Elf5","HOXA4","day_1",68,62,135,0.238597146303106,-0.161350315288379,-0.129289398079002,0.000771243943122264,0.77031634289527,0.00161406959989558,0.0177097635501789,0.903247039235604,0.0475253826635922,-0.598299472153619,-0.106167425195531,0.492132046958088,"Both_lower_than_TF1_only","not_significant","TF1_only_higher_than_TF2_only"
"ERF::FOXI1","SP5","day_1",55,39,161,0.307633776422769,-0.055957829263925,-0.0724681669588225,0.000689693634616877,0.78612175836424,0.0108426617482543,0.0177097635501789,0.906526748343978,0.110059833802893,-0.477140850281566,-0.0693217646389763,0.40781908564259,"Both_lower_than_TF1_only","not_significant","not_significant"
"NKX2-8","HOXA4","day_1",70,47,150,0.220836649837497,-0.131995374447233,-0.141693371263499,0.000628441470632547,0.975440233583122,0.0147716257688756,0.0177097635501789,0.986609396563082,0.117130674676341,-0.569819060363439,-0.032535769002904,0.537283291360535,"Both_lower_than_TF1_only","not_significant","not_significant"
"ETV7","HOXA4","day_1",74,47,150,0.200398934672457,-0.14310761267636,-0.138211536618372,0.0011118463080296,0.996490919026204,0.0114487487232682,0.0210456622591318,0.996490919026204,0.110059833802893,-0.571816671378583,-0.112934947774887,0.458881723603696,"Both_lower_than_TF1_only","not_significant","not_significant"
"ELK4","HOXA4","day_1",73,60,137,0.20659697400674,-0.158911962405586,-0.130825332439486,0.001328452233183,0.784937503448946,0.0041767719034023,0.0220024901120935,0.906526748343978,0.0651085032000947,-0.541274122198836,0.0114365052091775,0.552710627408013,"Both_lower_than_TF1_only","not_significant","not_significant"
"ERF::FOXI1","NFIX","day_1",61,48,155,0.278276257611261,-0.0548260753513331,-0.0756281863961617,0.00125463469296435,0.889303496257359,0.0324013835477289,0.0220024901120935,0.950263816565323,0.17888263833642,-0.515734449157515,0.0165540511502847,0.5322885003078,"Both_lower_than_TF1_only","not_significant","not_significant"
"EHF","HOXA4","day_1",69,66,131,0.233685844315836,-0.182213821064745,-0.117799054185279,0.00142585869593595,0.532951412976124,0.00101656750395624,0.0222266208484134,0.793438901340858,0.0448983980914008,-0.558827902117535,-0.0035277824486375,0.555300119668897,"Both_lower_than_TF1_only","not_significant","TF1_only_higher_than_TF2_only"
"IKZF2","NFIX","day_1",76,38,165,0.2253805026836,0.0172227239419824,-0.0909605092003902,0.00179017186809922,0.421380907632735,0.18108024472711,0.0263553080581274,0.744708557647002,0.415356309851343,-0.511034851708007,-0.239964942578648,0.271069909129359,"Both_lower_than_TF1_only","not_significant","not_significant"
