"TF1","TF2","timepoint","n_TF1_only","n_TF2_only","n_Both_TFs","median_TF1_only","median_TF2_only","median_Both_TFs","mean_TF1_only","mean_TF2_only","mean_Both_TFs","p_Both_vs_TF1","p_Both_vs_TF2","p_TF1_vs_TF2","p_adj_Both_vs_TF1","p_adj_Both_vs_TF2","p_adj_TF1_vs_TF2","diff_Both_minus_TF1","diff_Both_minus_TF2","diff_TF1_minus_TF2"
"BARHL2","ETV4","day_0",60,60,132,-0.0938428358035449,0.540676856429614,-0.16330839839807,0.0267047697633099,0.199201482805616,-0.0302646455234039,0.729318622670671,0.252388330314909,0.42346899223631,0.854595308552525,0.853139144662917,0.807395915605831,-0.0694655625945256,-0.703985254827685,-0.634519692233159
"BARHL2","ETV4","day_1",60,60,132,-0.048538262311102,0.0581037744594278,-0.00463328593119012,-0.0637459571601284,-0.092639399219547,-0.00192980523796053,0.583851662567613,0.430270448863451,0.843965304089461,0.960998078139239,0.749450206268866,0.885027030978065,0.0439049763799118,-0.062737060390618,-0.10664203677053
"BARHL2","ETV4","day_7",60,60,132,-0.0947512162739335,-0.190934792988404,0.0177528839540459,0.0370411873968192,-0.106562083586069,0.0321944507613645,0.956427947293368,0.229904400186954,0.338124995880353,0.971085846868745,0.472284232942193,0.646389505548756,0.112504100227979,0.20868767694245,0.0961835767144705
"DMRTA2","BARHL2","day_0",58,52,140,0.57003505571035,-0.248693253711346,-0.0934827029145927,0.219828015913709,-0.0919631615185182,0.0170674098262301,0.201701114077199,0.216929956971869,0.0433178662244727,0.643028398009989,0.853139144662917,0.401070582093612,-0.663517758624943,0.155210550796753,0.818728309421696
"DMRTA2","BARHL2","day_1",58,52,140,-0.245846908785332,0.249701856266489,-0.131540766726558,-0.162357183257213,0.0739354613099893,-0.0566009693509853,0.462692446169676,0.298837741418504,0.0768645685203597,0.905260817686004,0.668221198033261,0.271588142105271,0.114306142058774,-0.381242622993047,-0.495548765051821
"DMRTA2","BARHL2","day_7",58,52,140,-0.224858974735441,0.0862751533241804,-0.0582559022891112,-0.0574708326564958,0.0180277002085289,0.0395335595247554,0.43334952490558,0.753397403339597,0.776115157729854,0.742705620370752,0.876119992064099,0.894219638253963,0.16660307244633,-0.144531055613292,-0.311134128059621
"DMRTA2","ELF3","day_0",51,47,147,0.573295310109246,0.226493599556893,-0.129670434745797,0.302414509472329,0.0283239118327131,-0.00192978016613247,0.0480691959154772,0.700240895349354,0.0665541269940557,0.530890029140626,0.923867510054666,0.46344460841937,-0.702965744855043,-0.35616403430269,0.346801710552353
"DMRTA2","ELF3","day_1",51,47,147,-0.285457144147337,0.348477436246737,-0.0301778753080674,-0.217038766634928,0.173392135429556,-0.0426658179569728,0.118126293751649,0.0743088696306515,0.00964079211129081,0.440893913298407,0.458056588054544,0.110059833802893,0.25527926883927,-0.378655311554804,-0.633934580394074
"DMRTA2","ELF3","day_7",51,47,147,-0.26700754397558,-0.26619183016615,-0.0589957605180556,-0.0853757428374023,-0.201716047262269,0.0445955981231056,0.350781607738518,0.0418104879818279,0.413482428709797,0.667277366821819,0.147730390869125,0.711511971481145,0.208011783457524,0.207196069648094,-0.000815713809430019
"DMRTA2","ETS2","day_0",46,45,152,0.689579624701945,-0.0927594817085114,-0.16330839839807,0.351897672613329,-0.0470387010346281,-0.00689362264174874,0.0121934667093856,0.438090775875095,0.0109549805915119,0.494779253904692,0.859774538113653,0.312370483563121,-0.852888023100015,-0.0705489166895591,0.782339106410456
"DMRTA2","ETS2","day_1",46,45,152,-0.412344738569311,0.255065577495454,-0.0406160476186068,-0.276651909485829,0.11314644416048,-0.0303609506691328,0.0520591854090486,0.23908733761706,0.0114630873530681,0.268686594210828,0.586649485819637,0.110059833802893,0.371728690950704,-0.295681625114061,-0.667410316064765
"DMRTA2","ETS2","day_7",46,45,152,-0.322933998795018,0.079901638360323,-0.0582559022891112,-0.0752457631275014,-0.0661077431258527,0.037254573310882,0.3838965955977,0.317954023471676,0.946205101235617,0.696798615297195,0.579980304865114,0.987182487509601,0.264678096505907,-0.138157540649434,-0.402835637155341
"DMRTA2","ETV4","day_0",53,47,145,0.433972599670305,0.366509562855586,0.0667378449559985,0.159715973049372,0.027290213451001,0.0460311429451766,0.332440020482831,0.413039851419361,0.198944406440743,0.682622308300193,0.859774538113653,0.654428602416144,-0.367234754714306,-0.299771717899588,0.067463036814719
"DMRTA2","ETV4","day_1",53,47,145,-0.208176521695832,0.255065577495454,-0.0863875499224827,-0.141194632545799,0.0860518844371351,-0.0679830125043377,0.598455268985175,0.224655496537653,0.109099703802002,0.964561496339002,0.56432697865304,0.32123801675034,0.121788971773349,-0.341453127417937,-0.463242099191286
"DMRTA2","ETV4","day_7",53,47,145,-0.26700754397558,0.079901638360323,-0.0810043391541726,-0.0185213405035734,-0.113342097888137,0.0219518695591613,0.670267819342184,0.196089031012156,0.459925170605716,0.859555662747338,0.429451183621664,0.750851660352852,0.186003204821407,-0.160905977514496,-0.346909182335903
"DMRTA2","HOXA4","day_0",56,55,142,-0.134619417580519,0.413506645810006,0.156826582177873,-0.00439310162639473,0.133988526483395,0.108348422462996,0.44805564077556,0.987775861241372,0.557302433138088,0.719604513972868,0.998711656133105,0.863655817436219,0.291445999758392,-0.256680063632133,-0.548126063390525
"DMRTA2","HOXA4","day_1",56,55,142,0.104162296464977,-0.0486270353036458,-0.310262384853977,0.10211855589793,-0.0799690330946244,-0.162390784988313,0.0125502657405366,0.447792711829796,0.191412668113146,0.09037878772924,0.75021028707103,0.42986743262698,-0.414424681318953,-0.261635349550331,0.152789331768622
"DMRTA2","HOXA4","day_7",56,55,142,-0.321880042615001,-0.171550851187345,-0.067640972201186,-0.0977254542715352,-0.0540194933887707,0.0540423625253167,0.186692377805234,0.334424127817858,0.797515463378043,0.466730944513084,0.579980304865114,0.907482861869878,0.254239070413815,0.103909878986159,-0.150329191427656
"DMRTA2","RBPJ","day_0",59,59,139,0.573295310109246,-0.138938510971908,-0.129670434745797,0.282456380524733,-0.0624857794364804,-0.0109745622467043,0.0328383580727501,0.375238543814762,0.0194962819464865,0.494779253904692,0.853139144662917,0.393540266038566,-0.702965744855043,0.009268076226111,0.712233821081154
"DMRTA2","RBPJ","day_1",59,59,139,-0.31690557331113,0.17487828839834,-0.0686782856476798,-0.165793144540504,0.061256715656854,-0.054381703670263,0.328971626228933,0.272112460440228,0.085010658927988,0.801193227701869,0.643837518005898,0.28159780769896,0.24822728766345,-0.24355657404602,-0.49178386170947
"DMRTA2","RBPJ","day_7",59,59,139,-0.336100293469189,0.107148987777419,-0.011136532639194,-0.11666323598423,0.00122906377962501,0.0653562659169682,0.174296391697563,0.428479393841489,0.662863198117186,0.463108451402943,0.659458493100287,0.870295039039945,0.324963760829995,-0.118285520416613,-0.443249281246608
"DMRTA2","VAX2","day_0",62,62,136,-0.182324622865963,-0.178041944972362,0.301041300715794,-0.0419431320987208,-0.0839057356381595,0.130440709476382,0.196014416571776,0.0491951674120785,0.651078442064773,0.643028398009989,0.700046981867231,0.914210738083924,0.483365923581757,0.479083245688156,-0.00428267789360151
"DMRTA2","VAX2","day_1",62,62,136,-0.0733798177557515,0.191191528828706,-0.160999678164279,-0.0554893170776697,0.00599356927864403,-0.102209666759123,0.608570471353677,0.337704093442681,0.647482807871327,0.964561496339002,0.692666839952026,0.787328971135327,-0.0876198604085275,-0.352191206992985,-0.264571346584457
"DMRTA2","VAX2","day_7",62,62,136,-0.0274028459726454,0.194125037369185,-0.182880263998606,0.097432449176391,0.0779121663595152,-0.0282310427172591,0.343122022060802,0.49275091883985,0.75098960121534,0.663703181358486,0.69828338766075,0.891111813909055,-0.15547741802596,-0.37700530136779,-0.22152788334183
"EHF","BARHL2","day_0",63,55,137,0.478591841172715,0.311748042497322,-0.264492035058818,0.166853371847298,0.109953904039438,-0.0616066550763491,0.264792084772924,0.338786764535717,0.705707365438352,0.65186095876277,0.853139144662917,0.914210738083924,-0.743083876231533,-0.57624007755614,0.166843798675393
"EHF","BARHL2","day_1",63,55,137,0.0670555235158973,-0.164772789606027,0.0147149439712242,-0.0425014646587018,-0.135449657346143,0.0246002878322581,0.538271504114736,0.163560664896914,0.437256936351483,0.950946323936033,0.56432697865304,0.636665319412873,-0.0523405795446731,0.179487733577251,0.231828313121924
"EHF","BARHL2","day_7",63,55,137,-0.252110246630569,-0.0930580584570507,0.00369001070664151,-0.124351907188596,0.0254957533067045,0.0370063672440913,0.168160082577508,0.940463932862155,0.305368468019555,0.463108451402943,0.969928554628201,0.646389505548756,0.25580025733721,0.0967480691636922,-0.159052188173518
"EHF","DMRTA2","day_0",48,46,152,0.178424378826853,0.513695224381435,-0.0934827029145927,0.00206406014877131,0.286236663149748,0.0129774723274929,0.506000059834818,0.0649311190020092,0.0591440011678385,0.775086796856802,0.716947772313851,0.452941342598684,-0.271907081741446,-0.607177927296028,-0.335270845554582
"EHF","DMRTA2","day_1",48,46,152,0.356431565796591,-0.314070237500148,-0.0274611632710997,0.154320369828971,-0.23100264664754,-0.0441758591596676,0.0997125161054594,0.119946968047191,0.0150280865622476,0.400360860120405,0.538246148583592,0.117130674676341,-0.383892729067691,0.286609074229048,0.670501803296739
"EHF","DMRTA2","day_7",48,46,152,-0.210401867637042,-0.278400345003725,-0.0793851197481888,-0.156384429977742,-0.0552340165022087,0.031198386832175,0.103294895019811,0.575857215073406,0.438179950628421,0.391044959717856,0.759214736290809,0.736503773149522,0.131016747888854,0.199015225255536,0.0679984773666825
"EHF","HOXA4","day_0",69,66,131,-0.0967774283185979,0.562732460230648,0.0221007100630478,-0.0585817533316501,0.252137170992854,0.0466701653496472,0.25170492302176,0.175659410635847,0.0282160945461614,0.643028398009989,0.853139144662917,0.393540266038566,0.118878138381646,-0.540631750167601,-0.659509888549246
"EHF","HOXA4","day_1",69,66,131,0.285596775472458,-0.26970334419644,-0.273231126645077,0.233685844315836,-0.182213821064745,-0.117799054185279,0.00142585869593595,0.532951412976124,0.00101656750395624,0.0222266208484134,0.793438901340858,0.0448983980914008,-0.558827902117535,-0.0035277824486375,0.555300119668897
"EHF","HOXA4","day_7",69,66,131,-0.315646276739196,-0.274924032566576,-0.011136532639194,-0.175104090984185,-0.0699233499281087,0.0711288888356317,0.0193511665879851,0.202375209436764,0.308201332359581,0.195649885611061,0.432495407264053,0.646389505548756,0.304509744100002,0.263787499927382,-0.0407222441726195
"EHF","RBPJ","day_0",55,53,145,0.478591841172715,-0.0409649173995421,-0.138938510971908,0.165059634079345,0.0338585670641467,-0.0483215806444415,0.17130107724918,0.58298300156791,0.472125551383268,0.613443046905848,0.86307539338266,0.807395915605831,-0.617530352144623,-0.0979735935723659,0.519556758572257
"EHF","RBPJ","day_1",55,53,145,-0.0118667561199567,-0.0355233913788692,0.0670555235158973,0.0173638392216313,-0.0694820111083698,-0.00180940688047297,0.811851532791549,0.558246423495927,0.538851128594309,0.977912073589821,0.812831330914399,0.728548719783122,0.078922279635854,0.102578914894767,0.0236566352589125
"EHF","RBPJ","day_7",55,53,145,-0.336100293469189,-0.00347637101929912,0.00369001070664151,-0.182423473300977,0.0356234440442217,0.0501309875249153,0.0744370195683553,0.946399800518427,0.186406303092789,0.369625503443266,0.969928554628201,0.578773351291235,0.33979030417583,0.00716638172594063,-0.33262392244989
"EHF","SP5","day_0",49,49,151,-0.638958947455353,0.433972599670305,0.14346324799174,-0.225195492484916,0.101241972384773,0.0867962239250386,0.0777325946330917,0.889301498072219,0.149201484557028,0.596156872998479,0.981937070788075,0.566001901182493,0.782422195447093,-0.290509351678565,-1.07293154712566
"EHF","SP5","day_1",49,49,151,0.574468792294807,0.128401756351943,-0.0686782856476798,0.345491808571364,0.0487085967104534,-0.107526168612422,0.000127139805186853,0.176339124404169,0.033631870870569,0.0140210021347179,0.56432697865304,0.18188664858573,-0.643147077942487,-0.197080041999623,0.446067035942864
"EHF","SP5","day_7",49,49,151,-0.184782893624831,-0.305561577803575,-0.0810043391541726,-0.120296316086449,-0.149950569095227,0.020729944687384,0.327087121098965,0.141947647437663,0.759967056390364,0.642059904379449,0.34510207863285,0.891111813909055,0.103778554470658,0.224557238649402,0.120778684178744
"EHF","VAX2","day_0",60,58,140,0.0581430847461901,0.4405397355597,-0.0914737296095495,0.00118088951393704,0.181672130502386,0.0142914093577408,0.676515969815983,0.288492115696111,0.246030530481285,0.854595308552525,0.853139144662917,0.681376985178233,-0.14961681435574,-0.53201346516925,-0.38239665081351
"EHF","VAX2","day_1",60,58,140,0.0994019673725156,-0.284487220011085,-0.00219711769860959,0.0346025341780679,-0.209403594703481,-0.00988217779402096,0.717922272718099,0.0781044703330631,0.0621501546151167,0.977912073589821,0.459948547516927,0.259552897272236,-0.101599085071125,0.282290102312475,0.383889187383601
"EHF","VAX2","day_7",60,58,140,-0.142305025508865,-0.0752870512586088,-0.0793851197481888,-0.0357834236920037,0.027731464201095,-0.00440923156372006,0.77442607865687,0.773729156897819,0.603437729532236,0.884581512258924,0.876611877849126,0.83337116698932,0.0629199057606757,-0.00409806848958,-0.0670179742502557
"ELF2","BARHL2","day_0",67,47,145,0.515442649067684,0.311748042497322,-0.264492035058818,0.194560041702612,0.12923248187228,-0.0583901632502611,0.146473610879461,0.262455604865573,0.764683812500253,0.613443046905848,0.853139144662917,0.938769383633828,-0.779934684126502,-0.57624007755614,0.203694606570362
"ELF2","BARHL2","day_1",67,47,145,0.0491649655312892,-0.285457144147337,0.0147149439712242,-0.0786033464526859,-0.142350325650431,0.0180067143762189,0.384664520093098,0.181856182909949,0.584472478753233,0.849713416913536,0.56432697865304,0.748237714345927,-0.034450021560065,0.300172088118561,0.334622109678626
"ELF2","BARHL2","day_7",67,47,145,-0.252110246630569,-0.0964443740908163,0.00369001070664151,-0.115956695249926,0.0131178437781515,0.0403834488740423,0.180597137970507,0.875192776480133,0.339288463347683,0.463108451402943,0.94409019672091,0.646389505548756,0.25580025733721,0.100134384797458,-0.155665872539753
"ELF2","DMRTA2","day_0",54,40,158,0.29650158120624,0.51043496998254,-0.0934827029145927,0.0398598591892133,0.318073639302443,0.0152944096618328,0.71040244857752,0.0329334403692684,0.0525545785167751,0.854595308552525,0.698923447261944,0.435217603342044,-0.389984284120832,-0.603917672897133,-0.213933388776301
"ELF2","DMRTA2","day_1",54,40,158,0.263918673740774,-0.412344738569311,-0.0433327596555746,0.0991846456317515,-0.233235771154088,-0.0507051993157772,0.185284304879062,0.13370073207198,0.0378743117148385,0.607388828081168,0.543338343147178,0.196797894204553,-0.307251433396349,0.369011978913736,0.676263412310085
"ELF2","DMRTA2","day_7",54,40,158,-0.210401867637042,-0.322933998795018,-0.0683808304301303,-0.139044504820965,-0.0848378681483554,0.0354107896539444,0.100854117564839,0.453820333321055,0.595086347066767,0.391044959717856,0.667748472068424,0.829988852487859,0.142021037206912,0.254553168364888,0.112532131157976
"ELF2","HOXA4","day_0",65,50,147,-0.376492457425806,0.341535441987235,0.14346324799174,-0.145857096214173,0.174103691392476,0.0955759209299886,0.0356938503398239,0.522876995287185,0.0365910581865191,0.494779253904692,0.859774538113653,0.401070582093612,0.519955705417546,-0.198072193995495,-0.718027899413041
"ELF2","HOXA4","day_1",65,50,147,0.324263874746177,-0.284667631854254,-0.273231126645077,0.26155796768982,-0.156021395218564,-0.133719173657255,0.000236638028864682,0.790534086239137,0.00297389785526442,0.0140210021347179,0.906889752611997,0.0651085032000947,-0.597495001391254,0.0114365052091775,0.608931506600431
"ELF2","HOXA4","day_7",65,50,147,-0.206577747112799,-0.188247392572671,-0.0421270321403796,-0.115700871475647,-0.0180822961739115,0.0381432527272664,0.111181965718586,0.602238671704599,0.350446920424659,0.403605765964729,0.783463134348041,0.646389505548756,0.164450714972419,0.146120360432291,-0.018330354540128
"ELF2","NFIX","day_0",58,49,154,0.133343907792769,0.170234865018268,-0.0340436337237699,0.00337274043525224,0.107021415767362,0.02839824790612,0.400861428294691,0.571813798034702,0.383072075935863,0.704891303125152,0.859774538113653,0.792308265825728,-0.167387541516539,-0.204278498742038,-0.036890957225499
