"TFName","timepoint","n_positive_expression","n_negative_expression","n_total_positive_contrib","positive_expression_fraction","negative_expression_fraction","mean_contribution","median_contribution","global_positive_fraction","binomial_p_value","binomial_p_adj","difference_from_timepoint_global","expression_bias"
"Dlx3","day_0",84,34,118,0.711864406779661,0.288135593220339,0.00863600170133808,0.006899675,0.515210540681373,1.81297044931218e-05,0.0101704220569794,0.196653866098288,"positive_expression_enriched"
"HESX1","day_0",89,38,127,0.700787401574803,0.299212598425197,0.00808161891490842,0.006328742,0.515210540681373,2.54260551424485e-05,0.0101704220569794,0.18557686089343,"positive_expression_enriched"
"TBP","day_0",103,50,153,0.673202614379085,0.326797385620915,0.00869786636729185,0.004171099,0.515210540681373,9.24716423092215e-05,0.0148394714271831,0.157992073697712,"positive_expression_enriched"
"PLAGL2","day_0",55,99,154,0.357142857142857,0.642857142857143,0.012741158012987,0.0123236775,0.515210540681373,9.71699907221578e-05,0.0148394714271831,-0.158067683538516,"negative_expression_enriched"
"NFKB1","day_0",3,21,24,0.125,0.875,0.0116630179166667,0.010940295,0.515210540681373,0.000111380213415579,0.0148394714271831,-0.390210540681373,"negative_expression_enriched"
"ISX","day_0",81,36,117,0.692307692307692,0.307692307692308,0.0084015391225652,0.006328742,0.515210540681373,0.000129845374987852,0.0148394714271831,0.177097151626319,"positive_expression_enriched"
"Nobox","day_0",81,36,117,0.692307692307692,0.307692307692308,0.0084015391225652,0.006328742,0.515210540681373,0.000129845374987852,0.0148394714271831,0.177097151626319,"positive_expression_enriched"
"UNCX","day_0",105,54,159,0.660377358490566,0.339622641509434,0.00847730949533267,0.006532033,0.515210540681373,0.000244733677477391,0.0210943559068028,0.145166817809193,"positive_expression_enriched"
"TLX2","day_0",83,39,122,0.680327868852459,0.319672131147541,0.00836024033065679,0.0064303875,0.515210540681373,0.000263630247517995,0.0210943559068028,0.165117328171086,"positive_expression_enriched"
"LBX2","day_0",73,32,105,0.695238095238095,0.304761904761905,0.00802076530385384,0.005104065,0.515210540681373,0.000263679448835035,0.0210943559068028,0.180027554556722,"positive_expression_enriched"
"EN1","day_0",117,63,180,0.65,0.35,0.00862551835734677,0.006899675,0.515210540681373,0.000320631902796055,0.0227335503039361,0.134789459318627,"positive_expression_enriched"
