"TFName","timepoint","expression_direction","n_observations","pearson_r","pearson_p_value","spearman_rho","spearman_p_value","pearson_p_adj","spearman_p_adj","abs_pearson_r","abs_spearman_rho"
"PKNOX2","day_0","negative_expression",3,-1,0,-1,0,0,0,1,1
"PPARA::RXRA","day_0","negative_expression",3,-0.997272786014622,0.0470276718394692,-1,0,0.538599926749775,0,0.997272786014622,1
"RFX1","day_0","negative_expression",4,-1,0,-1,0,0,0,1,1
"RFX3","day_0","negative_expression",4,-1,0,-1,0,0,0,1,1
"RFX5","day_0","negative_expression",4,-1,0,-1,0,0,0,1,1
"TEAD1","day_0","negative_expression",3,0.939932110545347,0.221776017889824,1,0,0.763342301424404,0,0.939932110545347,1
"TGIF1","day_0","negative_expression",3,-1,0,-1,0,0,0,1,1
"TP53","day_0","negative_expression",4,-1,0,-1,0,0,0,1,1
"ZNF143","day_0","negative_expression",4,-0.94741589517117,0.0525841048288299,-1,0,0.538599926749775,0,0.94741589517117,1
"PGR","day_0","negative_expression",32,-0.514498836030342,0.00258963252927682,-0.698159734767442,8.88851819709499e-06,0.119795532836734,0.000660416902044158,0.514498836030342,0.698159734767442
"BHLHA15","day_0","negative_expression",20,0.632953785557227,0.00274094758845825,0.774404640315262,6.12649811580269e-05,0.119795532836734,0.00413817100003764,0.632953785557227,0.774404640315262
"HOXA1","day_0","negative_expression",80,0.214908164566907,0.0555719298325405,0.420425249877389,0.000103269288233013,0.538599926749775,0.00639409009642737,0.214908164566907,0.420425249877389
"HOXB5","day_0","negative_expression",57,0.251138146421673,0.0595152027603081,0.479179332418917,0.000162597015884213,0.552747445636362,0.0092930448309208,0.251138146421673,0.479179332418917
"FOSB::JUN","day_0","negative_expression",7,0.928356589776126,0.00253816053443235,0.972845605134017,0.000229988984608371,0.119795532836734,0.0122058439688586,0.928356589776126,0.972845605134017
"HLF","day_0","negative_expression",15,0.530126127296104,0.0420780928570834,0.773503237401985,0.000717203800839623,0.532864979253856,0.0355254949349227,0.530126127296104,0.773503237401985
"KLF16","day_0","negative_expression",91,0.243068966479484,0.0202539060142353,0.342896145728181,0.000876970406174708,0.342014822013109,0.040724313236738,0.243068966479484,0.342896145728181
"NFIL3","day_0","negative_expression",16,0.461837215922536,0.0717179914694497,0.740796090582499,0.0010278491111252,0.58294139038063,0.0449230523274131,0.461837215922536,0.740796090582499
