"TFName","timepoint","n_upstream","n_downstream","median_upstream","median_downstream","difference_median_upstream_minus_downstream","wilcox_p_value","wilcox_p_adj","direction"
"TFAP2B","day_7",199,491,0.010645125,0.002580033,0.008065092,4.34037193235957e-17,2.29649619454736e-14,"upstream_higher"
"TFAP2A","day_7",181,433,0.012214074,0.002996141,0.009217933,7.16535474117742e-17,2.29649619454736e-14,"upstream_higher"
"TFAP2C","day_7",153,386,0.010883771,0.002368667,0.008515104,1.06035158808001e-13,2.26561789319762e-11,"upstream_higher"
"TFAP2E","day_7",166,390,0.011072795,0.002852758,0.008220037,1.55174113697897e-13,2.4866651720088e-11,"upstream_higher"
"VEZF1","day_7",304,522,0.013742129,0.010406256,0.003335873,3.52181513078055e-13,4.51496699766066e-11,"upstream_higher"
"TCFL5","day_7",96,124,0.0197916925,0.0120347735,0.007756919,6.35289224178639e-11,6.78700654497513e-09,"upstream_higher"
"Gmeb1","day_7",126,136,0.019676367,0.0113460225,0.0083303445,1.17773062090384e-10,1.0784647542848e-08,"upstream_higher"
"KLF2","day_7",152,237,0.015800476,0.011012077,0.004788399,1.65158019674083e-08,1.30389006777699e-06,"upstream_higher"
"NR2C2","day_7",280,800,0.0125538905,0.008531253,0.0040226375,2.0167022425994e-08,1.30389006777699e-06,"upstream_higher"
"HES1","day_7",75,105,0.01944685,0.01133275,0.0081141,2.03414987172698e-08,1.30389006777699e-06,"upstream_higher"
"Ahr::Arnt","day_7",68,188,0.0147781375,0.0048196795,0.009958458,2.45027054655114e-08,1.42783947303571e-06,"upstream_higher"
"TFAP2B","day_0",192,495,0.012721994,0.017838717,-0.005116723,1.39223200984108e-08,8.97989646347494e-06,"downstream_higher"
"NR2C1","day_7",141,306,0.01426061,0.007809664,0.006450946,1.89494946193851e-07,1.01221883758549e-05,"upstream_higher"
"ASCL1","day_7",126,345,0.012596935,0.006049737,0.006547198,9.20251599635908e-07,4.5375482720509e-05,"upstream_higher"
"HES5","day_7",30,44,0.020709133,0.0109353065,0.0097738265,1.01927523800163e-06,4.66682448256462e-05,"upstream_higher"
"JUND","day_0",29,127,0.017144521,0.00755206,0.009592461,1.65248388707785e-07,5.32926053582606e-05,"upstream_higher"
"TFAP2C","day_0",150,402,0.012721994,0.018978812,-0.006256818,2.92069018847779e-07,6.27948390522725e-05,"downstream_higher"
"TFAP2E","day_0",160,382,0.011982494,0.016622066,-0.004639572,5.1468088252578e-07,8.2992292307282e-05,"downstream_higher"
